Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average,vote_count,weightedRating
Iron Man,False,140000000,"['Action', 'Science Fiction', 'Adventure']",1726,tt0371746,en,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",22.073099,"['Paramount Pictures', 'Marvel Studios']",2008-04-30,585174222.0,126.0,7.4,8951.0,66237.40000000001
The Lord of the Rings: The Two Towers,False,79000000,"['Adventure', 'Fantasy', 'Action']",121,tt0167261,en,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",29.423537,"['WingNut Films', 'New Line Cinema', 'The Saul Zaentz Company']",2002-12-18,926287400.0,179.0,8.0,7641.0,61128.0
Iron Man 3,False,200000000,"['Action', 'Adventure', 'Science Fiction']",68721,tt1300854,en,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",23.721243,['Marvel Studios'],2013-04-18,1215439994.0,130.0,6.8,8951.0,60866.8
Star Wars: The Force Awakens,False,245000000,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",140607,tt2488496,en,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",31.626013,"['Lucasfilm', 'Truenorth Productions', 'Bad Robot']",2015-12-15,2068223624.0,136.0,7.5,7993.0,59947.5
The Hobbit: An Unexpected Journey,False,250000000,"['Adventure', 'Fantasy', 'Action']",49051,tt0903624,en,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",23.253089000000006,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', 'Metro-Goldwyn-Mayer (MGM)']",2012-11-26,1021103568.0,169.0,7.0,8427.0,58989.0
Jurassic World,False,150000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",135397,tt0369610,en,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",32.790475,"['Universal Studios', 'Amblin Entertainment', 'Legendary Pictures', 'Fuji Television Network', 'Dentsu']",2015-06-09,1513528810.0,124.0,6.5,8842.0,57473.0
The Martian,False,108000000,"['Drama', 'Adventure', 'Science Fiction']",286217,tt3659388,en,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",25.62993,"['Twentieth Century Fox Film Corporation', 'Scott Free Productions', 'Mid Atlantic Films', 'International Traders', 'TSG Entertainment', 'Genre Films']",2015-09-30,630161890.0,141.0,7.6,7442.0,56559.2
Up,False,175000000,"['Animation', 'Comedy', 'Family', 'Adventure']",14160,tt1049413,en,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",19.330884,['Pixar Animation Studios'],2009-05-13,735099082.0,96.0,7.8,7048.0,54974.4
Star Wars,False,11000000,"['Adventure', 'Action', 'Science Fiction']",11,tt0076759,en,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,42.149697,"['Lucasfilm', 'Twentieth Century Fox Film Corporation']",1977-05-25,775398007.0,121.0,8.1,6778.0,54901.8
Pirates of the Caribbean: The Curse of the Black Pearl,False,140000000,"['Adventure', 'Fantasy', 'Action']",22,tt0325980,en,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.",47.32666500000001,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']",2003-07-09,655011224.0,143.0,7.5,7191.0,53932.5
Harry Potter and the Philosopher's Stone,False,125000000,"['Adventure', 'Fantasy', 'Family']",671,tt0241527,en,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.",38.187238,"['1492 Pictures', 'Warner Bros.', 'Heyday Films']",2001-11-16,976475550.0,152.0,7.5,7188.0,53910.0
Skyfall,False,200000000,"['Action', 'Adventure', 'Thriller']",37724,tt1074638,en,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",20.309585,['Columbia Pictures'],2012-10-25,1108561013.0,143.0,6.9,7718.0,53254.2
Captain America: Civil War,False,250000000,"['Adventure', 'Action', 'Science Fiction']",271110,tt3498820,en,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",145.882135,"['Studio Babelsberg', 'Marvel Studios', 'Walt Disney Studios Motion Pictures', 'Vita-Ray Dutch Productions (III)', 'Deluxe Digital Studios']",2016-04-27,1153304495.0,147.0,7.1,7462.0,52980.2
Avengers: Age of Ultron,False,280000000,"['Action', 'Adventure', 'Science Fiction']",99861,tt2395427,en,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",37.37942,"['Marvel Studios', 'Prime Focus', 'Revolution Sun Studios']",2015-04-22,1405403694.0,141.0,7.3,6908.0,50428.4
Back to the Future,False,19000000,"['Adventure', 'Comedy', 'Science Fiction', 'Family']",105,tt0088763,en,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",25.778509,"['Universal Pictures', 'Amblin Entertainment', 'U-Drive Productions']",1985-07-03,381109762.0,116.0,8.0,6239.0,49912.0
The Hunger Games: Catching Fire,False,130000000,"['Adventure', 'Action', 'Science Fiction']",101299,tt1951264,en,"Katniss Everdeen has returned home safe after winning the 74th Annual Hunger Games along with fellow tribute Peeta Mellark. Winning means that they must turn around and leave their family and close friends, embarking on a ""Victor's Tour"" of the districts. Along the way Katniss senses that a rebellion is simmering, but the Capitol is still very much in control as President Snow prepares the 75th Annual Hunger Games (The Quarter Quell) - a competition that could change Panem forever.",25.309139,"['Lionsgate', 'Color Force']",2013-11-15,847423452.0,146.0,7.4,6656.0,49254.4
The Empire Strikes Back,False,18000000,"['Adventure', 'Action', 'Science Fiction']",1891,tt0080684,en,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",19.470959,"['Lucasfilm', 'Twentieth Century Fox Film Corporation']",1980-05-17,538400000.0,124.0,8.2,5998.0,49183.6
Big Hero 6,False,165000000,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",177572,tt2245084,en,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",213.849907,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",2014-10-24,652105443.0,102.0,7.8,6289.0,49054.2
Harry Potter and the Deathly Hallows: Part 2,False,125000000,"['Family', 'Fantasy', 'Adventure']",12445,tt1201607,en,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",24.990737,"['Warner Bros.', 'Heyday Films']",2011-07-07,1342000000.0,130.0,7.9,6141.0,48513.9
The Revenant,False,135000000,"['Western', 'Drama', 'Adventure', 'Thriller']",281957,tt1663202,en,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",23.501228,"['Regency Enterprises', 'Appian Way', 'CatchPlay', 'Anonymous Content', 'New Regency Pictures', 'Hong Kong Alpha Motion Pictures Co.', 'RatPac Entertainment', 'M Productions', 'Monarchy Enterprises S.a.r.l.']",2015-12-25,532950503.0,156.0,7.3,6558.0,47873.4
Captain America: The First Avenger,False,140000000,"['Action', 'Adventure', 'Science Fiction']",1771,tt0458339,en,"Predominantly set during World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",19.323582,"['Paramount Pictures', 'Marvel Studios']",2011-07-22,370569774.0,124.0,6.6,7174.0,47348.4
Harry Potter and the Prisoner of Azkaban,False,130000000,"['Adventure', 'Fantasy', 'Family']",673,tt0304141,en,"Harry, Ron and Hermione return to Hogwarts for another magic-filled year. Harry comes face to face with danger yet again, this time in the form of escaped convict, Sirius Black – and turns to sympathetic Professor Lupin for help.",28.460276,"['1492 Pictures', 'Heyday films', 'Warner Bros.']",2004-05-31,789804554.0,141.0,7.7,6037.0,46484.9
X-Men: Days of Future Past,False,250000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",127585,tt1877832,en,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,26.058586,"['Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Marvel Entertainment', 'Bad Hat Harry Productions', 'TSG Entertainment', 'Down Productions', 'Revolution Sun Studios']",2014-05-15,747862775.0,131.0,7.5,6155.0,46162.5
Kingsman: The Secret Service,False,81000000,"['Crime', 'Comedy', 'Action', 'Adventure']",207703,tt2802144,en,The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.,28.224212,"['Twentieth Century Fox Film Corporation', 'Marv Films', 'TSG Entertainment', 'Cloudy Productions']",2015-01-29,414351546.0,130.0,7.6,6069.0,46124.4
Iron Man 2,False,200000000,"['Adventure', 'Action', 'Science Fiction']",10138,tt1228705,en,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",19.083344,['Marvel Studios'],2010-04-28,623933331.0,124.0,6.6,6969.0,45995.4
Suicide Squad,False,175000000,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']",297761,tt1386697,en,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.",42.965027,"['DC Comics', 'Dune Entertainment', 'Atlas Entertainment', 'Warner Bros.', 'DC Entertainment']",2016-08-02,745600054.0,123.0,5.9,7717.0,45530.3
Captain America: The Winter Soldier,False,170000000,"['Action', 'Adventure', 'Science Fiction']",100402,tt1843866,en,"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.",18.717704,['Marvel Studios'],2014-03-20,714766572.0,136.0,7.6,5881.0,44695.6
Harry Potter and the Chamber of Secrets,False,100000000,"['Adventure', 'Fantasy', 'Family']",672,tt0295297,en,"Ignoring threats to his life, Harry returns to Hogwarts to investigate – aided by Ron and Hermione – a mysterious series of attacks.",29.741452,"['1492 Pictures', 'Heyday films', 'Warner Bros.']",2002-11-13,876688482.0,161.0,7.4,5966.0,44148.4
Thor,False,150000000,"['Adventure', 'Fantasy', 'Action']",10195,tt0800369,en,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",29.158489000000007,['Marvel Studios'],2011-04-21,449326618.0,115.0,6.6,6678.0,44074.8
Gladiator,False,103000000,"['Action', 'Drama', 'Adventure']",98,tt0172495,en,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed. He escapes, but is captured by slave traders. Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences. His battle skills serve him well, and he becomes one of the most famous and admired men to fight in the Colosseum. Determined to avenge himself against the man who took away his freedom and laid waste to his family, Maximus believes that he can use his fame and skill in the ring to avenge the loss of his family and former glory. As the gladiator begins to challenge his rule, Commodus decides to put his own fighting mettle to the test by squaring off with Maximus in a battle to the death.",23.186667,"['DreamWorks SKG', 'Universal Pictures', 'Scott Free Productions', 'Red Wagon Entertainment', 'Mill Film', 'C & L', 'Dawliz']",2000-05-01,457640427.0,155.0,7.9,5566.0,43971.4
