Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average,vote_count,weightedRating
Edward Scissorhands,False,20000000,"['Fantasy', 'Drama', 'Romance']",162,tt0099487,en,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,17.612244,['Twentieth Century Fox Film Corporation'],1990-12-05,53000000.0,105.0,7.5,3731.0,27982.5
Passengers,False,110000000,"['Adventure', 'Drama', 'Romance', 'Science Fiction']",274870,tt1355644,en,"A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.",20.303632,"['Columbia Pictures', 'Village Roadshow Pictures', 'Original Film', 'Company Films', 'Start Motion Pictures', 'LStar Capital', 'Wanda Pictures']",2016-12-21,303144152.0,116.0,6.7,4134.0,27697.8
Amélie,False,10000000,"['Comedy', 'Romance']",194,tt0211915,fr,"At a tiny Parisian café, the adorable yet painfully shy Amélie (Audrey Tautou) accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?",12.879381,"['France 3 Cinéma', 'Claudie Ossard Productions', 'MMC Independent', 'Canal+', 'Tapioca Films', 'Sofica Sofinergie 5', 'Victoires Productions', 'Filmstiftung Nordrhein-Westfalen', 'Union Générale Cinématographique (UGC)']",2001-04-25,173921954.0,122.0,7.8,3403.0,26543.4
The Theory of Everything,False,15000000,"['Drama', 'Romance']",266856,tt2980516,en,"The Theory of Everything is the extraordinary story of one of the world’s greatest living minds, the renowned astrophysicist Stephen Hawking, who falls deeply in love with fellow Cambridge student Jane Wilde.",11.85302,['Working Title Films'],2014-11-26,123726688.0,123.0,7.8,3403.0,26543.4
Aladdin,False,28000000,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy', 'Romance']",812,tt0103639,en,"Princess Jasmine grows tired of being forced to remain in the palace and she sneaks out into the marketplace  in disguise where she meets street-urchin Aladdin and the two fall in love, although she may only marry a prince. After being thrown in jail, Aladdin and becomes embroiled in a plot to find a mysterious lamp with which the evil Jafar hopes to rule the land.",16.357419,['Walt Disney Pictures'],1992-11-25,504050219.0,90.0,7.4,3495.0,25863.0
The Curious Case of Benjamin Button,False,150000000,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']",4922,tt0421715,en,"Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",17.934821,"['Paramount Pictures', 'Warner Bros.', 'Kennedy/Marshall Company, The']",2008-11-24,333932083.0,166.0,7.3,3398.0,24805.4
The Notebook,False,29000000,"['Romance', 'Drama']",11036,tt0332280,en,"An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.",15.239013,['New Line Cinema'],2004-06-25,115603229.0,123.0,7.7,3163.0,24355.1
A Beautiful Mind,False,60000000,"['Drama', 'Romance']",453,tt0268978,en,"At Princeton University, John Nash struggles to make a worthwhile contribution to serve as his legacy to the world of mathematics. He finally makes a revolutionary breakthrough that will eventually earn him the Nobel Prize. After graduate school he turns to teaching, becoming romantically involved with his student Alicia. Meanwhile the government asks his help with breaking Soviet codes, which soon gets him involved in a terrifying conspiracy plot. Nash grows more and more paranoid until a discovery that turns his entire world upside down. Now it is only with Alicia's help that he will be able to recover his mental strength and regain his status as the great mathematician we know him as today..",11.93646,"['Imagine Entertainment', 'DreamWorks SKG', 'Universal Pictures']",2001-12-11,313542341.0,135.0,7.7,3087.0,23769.9
The Perks of Being a Wallflower,False,13000000,"['Drama', 'Romance']",84892,tt1659337,en,"A coming-of-age story based on the best-selling novel by Stephen Chbosky, which follows 15-year-old freshman Charlie, an endearing and naive outsider who is taken under the wings of two seniors. A moving tale of love, loss, fear and hope - and the unforgettable friends that help us through life.",12.775679,"['Summit Entertainment', 'Mr. Mudd Production']",2012-09-20,33400000.0,102.0,7.7,3056.0,23531.2
Beauty and the Beast,False,25000000,"['Romance', 'Family', 'Animation', 'Fantasy', 'Music']",10020,tt0101414,en,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.",23.433511,"['Walt Disney Pictures', 'Walt Disney Animation Studios', 'Silver Screen Partners IV']",1991-11-13,377350553.0,84.0,7.5,3029.0,22717.5
The Devil Wears Prada,False,35000000,"['Comedy', 'Drama', 'Romance']",350,tt0458352,en,The Devil Wears Prada is about a young journalist who moves to New York to work in the fashion industry. Her boss however is extremely demanding and cruel and won’t let her succeed if she doesn’t fit into the high class elegant look of their magazine when all she really wants to be a good journalist.,13.102384,"['Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Major Studio Partners', 'Peninsula Films', 'Fox 2000 Pictures']",2006-06-30,326551094.0,109.0,7.0,3198.0,22386.0
Slumdog Millionaire,False,15000000,"['Drama', 'Romance']",12405,tt1010048,en,"Jamal Malik is an impoverished Indian teen who becomes a contestant on the Hindi version of ‘Who Wants to Be a Millionaire?’ but, after he wins, he is suspected of cheating.",11.258181,"['Fox Searchlight Pictures', 'Celador Films', 'Warner Bros.', 'Film4']",2008-05-12,377910544.0,120.0,7.6,2918.0,22176.8
(500) Days of Summer,False,7500000,"['Comedy', 'Drama', 'Romance']",19913,tt1022603,en,"Tom (Joseph Gordon-Levitt), greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer (Zooey Deschanel), suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.",16.376657,"['Fox Searchlight Pictures', 'Watermark', 'Dune Entertainment III']",2009-07-17,60722734.0,95.0,7.2,2993.0,21549.6
Twilight,False,37000000,"['Adventure', 'Fantasy', 'Drama', 'Romance']",8966,tt1099212,en,"When Bella Swan moves to a small town in the Pacific Northwest to live with her father, she starts school and meets the reclusive Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire. Despite Edward's repeated cautions, Bella can't help but fall in love with him, a fatal move that endangers her own life when a coven of bloodsuckers try to challenge the Cullen clan.",31.282029,"['Summit Entertainment', 'Maverick Films', 'Imprint Entertainment', 'Goldcrest Pictures', 'Temple Hill Entertainment', 'Twilight Productions']",2008-11-20,392616625.0,122.0,5.8,3688.0,21390.4
Me Before You,False,20000000,"['Drama', 'Romance']",296096,tt2674426,en,"A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.",34.347590000000004,"['New Line Cinema', 'Sunswept Entertainment', 'Metro-Goldwyn-Mayer (MGM)']",2016-06-02,207945075.0,110.0,7.6,2674.0,20322.4
"Crazy, Stupid, Love.",False,50000000,"['Comedy', 'Drama', 'Romance']",50646,tt1570728,en,"Cal Weaver is living the American dream. He has a good job, a beautiful house, great children and a beautiful wife, named Emily. Cal's seemingly perfect life unravels, however, when he learns that Emily has been unfaithful and wants a divorce. Over 40 and suddenly single, Cal is adrift in the fickle world of dating. Enter, Jacob Palmer, a self-styled player who takes Cal under his wing and teaches him how to be a hit with the ladies.",10.246173,['Warner Bros.'],2011-07-29,142851197.0,118.0,7.0,2522.0,17654.0
Groundhog Day,False,14600000,"['Romance', 'Fantasy', 'Drama', 'Comedy']",137,tt0107048,en,"A narcissistic TV weatherman, along with his attractive-but-distant producer and mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.",12.989627,['Columbia Pictures'],1993-02-11,70906973.0,101.0,7.4,2358.0,17449.2
Fifty Shades of Grey,False,40000000,"['Drama', 'Romance', 'Thriller']",216015,tt2322441,en,"When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.",33.068431,"['Focus Features', 'Trigger Street Productions', 'Michael De Luca Productions']",2015-02-11,571006128.0,125.0,5.2,3350.0,17420.0
Focus,False,50100000,"['Romance', 'Comedy', 'Crime', 'Drama']",256591,tt2381941,en,"Nicky, a veteran con artist, takes a novice named Jess under his wing. While Nicky teaches Jess the tricks of the trade, the pair become romantically involved; but, when Jess gets uncomfortably close, Nicky ends their relationship. Three years later, Nicky is in Buenos Aires working a very dangerous scheme when Jess -- now an accomplished femme fatale -- unexpectedly shows up. Her appearance throws Nicky for a loop at a time when he cannot afford to be off his game.",10.035362,"['Kramer & Sigman Films', 'RatPac-Dune Entertainment', 'Zaftig Films']",2015-02-25,153962963.0,105.0,6.7,2588.0,17339.600000000002
Warm Bodies,False,35000000,"['Horror', 'Comedy', 'Romance']",82654,tt1588173,en,"After a zombie becomes involved with the girlfriend of one of his victims, their romance sets in motion a sequence of events that might transform the entire lifeless world.",10.430238,['Summit Entertainment'],2013-01-31,116980662.0,97.0,6.4,2698.0,17267.2
Pitch Perfect,False,17000000,"['Comedy', 'Music', 'Romance']",114150,tt1981677,en,"College student Beca knows she does not want to be part of a clique, but that's exactly where she finds herself after arriving at her new school. Thrust in among mean gals, nice gals and just plain weird gals, Beca finds that the only thing they have in common is how well they sing together. She takes the women of the group out of their comfort zone of traditional arrangements and into a world of amazing harmonic combinations in a fight to the top of college music competitions.",11.03595,['Brownstone Productions'],2012-09-28,115350426.0,112.0,7.3,2310.0,16863.0
The Mask,False,23000000,"['Romance', 'Comedy', 'Crime', 'Fantasy']",854,tt0110475,en,"When timid bank clerk Stanley Ipkiss discovers a magical mask containing the spirit of the Norse god Loki, his entire life changes. While wearing the mask, Ipkiss becomes a supernatural playboy exuding charm and confidence which allows him to catch the eye of local nightclub singer Tina Carlyle. Unfortunately, under the mask's influence, Ipkiss also robs a bank, which angers junior crime lord Dorian Tyrell, whose goons get blamed for the heist.",14.13488,"['New Line Cinema', 'Dark Horse Entertainment']",1994-07-29,351583407.0,101.0,6.6,2550.0,16830.0
Cinderella,False,95000000,"['Romance', 'Fantasy', 'Family', 'Drama']",150689,tt1661199,en,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.",19.801128,"['Walt Disney Pictures', 'Genre Films', 'Beagle Pug Films', 'Allison Shearmur Productions']",2015-03-12,543514353.0,105.0,6.7,2426.0,16254.2
Juno,False,7500000,"['Comedy', 'Drama', 'Romance']",7326,tt0467406,en,"A young girl named Juno gets herself pregnant and tries to stand on her own, but soon learns a few lessons about being grown up.",11.791591,"['Fox Searchlight Pictures', 'Mandate Pictures']",2007-12-05,231411584.0,96.0,7.0,2313.0,16191.0
The Twilight Saga: Breaking Dawn - Part 2,False,120000000,"['Adventure', 'Fantasy', 'Drama', 'Romance']",50620,tt1673434,en,"After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",26.080995,"['Summit Entertainment', 'Sunswept Entertainment', 'Temple Hill Entertainment']",2012-11-13,829000000.0,115.0,6.1,2641.0,16110.1
The Twilight Saga: Breaking Dawn - Part 1,False,110000000,"['Adventure', 'Fantasy', 'Romance']",50619,tt1324999,en,"The new found married bliss of Bella Swan and vampire Edward Cullen is cut short when a series of betrayals and misfortunes threatens to destroy their world. Bella soon discovers she is pregnant, and during a nearly fatal childbirth, Edward finally fulfills her wish to become immortal. But the arrival of their remarkable daughter, Renesmee, sets in motion a perilous chain of events that pits the Cullens and their allies against the Volturi, the fearsome council of vampire leaders, setting the stage for an all-out battle.",25.9725,"['Summit Entertainment', 'Sunswept Entertainment', 'Total Entertainment', 'TSBD Canada Productions', 'Zohar International', 'Temple Hill Entertainment', 'TSBD Louisiana', 'TSBD Productions']",2011-03-15,712171856.0,117.0,5.8,2622.0,15207.6
The Age of Adaline,False,25000000,"['Fantasy', 'Drama', 'Romance']",293863,tt1655441,en,"After 29-year-old Adaline recovers from a nearly lethal accident, she inexplicably stops growing older. As the years stretch on and on, Adaline keeps her secret to herself  until she meets a man who changes her life.",10.542026,"['Lakeshore Entertainment', 'Sidney Kimmel Entertainment', 'Sierra/Affinity']",2015-04-16,65663276.0,112.0,7.4,2052.0,15184.8
Midnight in Paris,False,30000000,"['Fantasy', 'Comedy', 'Romance']",59436,tt1605783,en,A romantic comedy about a family traveling to the French capital for business. The party includes a young engaged couple forced to confront the illusion that a life different from their own is better.,11.43256,"['Gravier Productions', 'Televisió de Catalunya (TV3)', 'Versátil Cinema', 'Mediapro', 'Pontchartrain Productions']",2011-05-11,151119219.0,94.0,7.4,2049.0,15162.6
American Pie,False,11000000,"['Comedy', 'Romance']",2105,tt0163651,en,"At a high-school party, four friends find that losing their collective virginity isn't as easy as they had thought. But they still believe that they need to do so before college. To motivate themselves, they enter a pact to all ""score."" by their senior prom.",18.344227,"['Universal Pictures', 'Summit Entertainment', 'Newmarket Capital Group', 'Zide-Perry Productions']",1999-07-09,235483004.0,95.0,6.4,2358.0,15091.2
Friends with Benefits,False,35000000,"['Romance', 'Comedy']",50544,tt1632708,en,"Jamie is a New York-based executive recruiter who entices Dylan, an art director from Los Angeles, to take a job at the New York office of GQ magazine. Finding that they have much in common, the two become fast friends. Feeling jaded by a number of broken romances, Dylan and Jamie decide that they are ready to quit looking for true love and focus on having fun. However, complications unfold when the two best pals add sex to their relationship.",10.009007,"['Castle Rock Entertainment', 'Screen Gems', 'Olive Bridge Entertainment']",2011-07-21,150483765.0,109.0,6.5,2306.0,14989.0
